StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_6_TEXT,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q20_First Click,Q20_Last Click,Q20_Page Submit,Q20_Click Count,Q22_First Click,Q22_Last Click,Q22_Page Submit,Q22_Click Count,Q24_First Click,Q24_Last Click,Q24_Page Submit,Q24_Click Count,Q26_First Click,Q26_Last Click,Q26_Page Submit,Q26_Click Count,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q28_1,Q28_2,Q28_3,Q28_4,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q29_11,Q29_12,Q29_13,Q29_14,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q31,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q33,Q34,Q35,Q_DuplicateRespondentStatus,Q_BallotBoxStuffing,opp,QPMID,gc,term,tg,Q_TotalDuration,PS,SVID,supplier_id,_os_api_transaction_id,Weight,GenPopWeight,age_group,race,2nd_order,pureSpectrumRedirectUrl,pureSpectrumSignatureValue
05-05-2026 12:53,05-05-2026 12:56,IP Address,100,216,TRUE,05-05-2026 12:56,R_31YmVnmIenrLQ43,anonymous,EN,,Yes,Yes,1991,Male,"4 year college degree (e.g., bachelor's degree)",Northeast,No,,,Black or African American,,,,,"$50,000 to $59,999",Very Interested7,Very Interested7,Very Interested7,6,5,6,6,A great deal of attention7,A great deal of attention7,6,A great deal of attention7,A great deal of attention7,6,6,5,6,A lot like me7,A lot like me7,A lot like me7,6,6,A lot like me7,A lot like me7,A lot like me7,5,6,Somewhat like me4,Definitely true,Likely true,Definitely true,Definitely true,Likely true,Likely true,Likely false,Likely true,Definitely true,Likely true,Definitely true,Likely true,,,,,,,,,,,,,7.348,30.597,31.37,7,Very much7,6,Very much7,6,Very much7,Somewhat4,Very much7,6,6,6,7,6,7,6,,,,,,,,,,,,,,,6,6,5,6,Neither agree nor disagree4,Strongly agree7,6,6,Strongly agree7,6,5,6,Strongly agree7,7 - A great deal of guidance,very liberal,very liberal,,,Qual81139-0421-GenPop-[MD],C0007,1,,,216,,49410151,4167,428fW4Kf9LuRYMUjl4vxo2,0.418141319,0.767360525,35-54,Blacks/AA,DV2,https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=428fW4Kf9LuRYMUjl4vxo2&ps_hash=cca5d618e6ce9c123360e6bb14935166352cce79,cca5d618e6ce9c123360e6bb14935166352cce79
05-05-2026 13:18,05-05-2026 13:23,IP Address,100,280,TRUE,05-05-2026 13:23,R_6zY2zEtKDbwv8Mg,anonymous,EN,,Yes,Yes,1994,Female,High school graduate,South,No,,,Black or African American,,,,,"$150,000 or more",Very Interested7,Very Interested7,Very Interested7,Very Interested7,Very Interested7,Very Interested7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,,,,,1.179,38.032,38.607,12,,,,,,,,,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,7,7,7,7,,,,,,,,,,,,,,,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,7 - The benefits strongly outweigh the risks,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,7 - A great deal of guidance,moderate,moderate,,,Qual81139-0421-GenPop-[MD],C0007,1,,,280,,49410151,4167,5j3BfgVyO7vnUTz02RgXAV,0.418141319,0.767360525,18-34,Blacks/AA,DV2,https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=5j3BfgVyO7vnUTz02RgXAV&ps_hash=25779ea835ce1b35cbfc0b3e2106acc872c2d6c7,25779ea835ce1b35cbfc0b3e2106acc872c2d6c7
05-05-2026 13:25,05-05-2026 13:30,IP Address,100,259,TRUE,05-05-2026 13:30,R_3J34DZQBqCphMBg,anonymous,EN,,Yes,Yes,1974,Female,"2 year degree (e.g., associate degree)",West,No,,,,,White,,,"Less than $10,000",Not at all interested1,Very Interested7,Very Interested7,Very Interested7,Very Interested7,Very Interested7,No attention at all1,No attention at all1,A moderate amount of attention4,No attention at all1,No attention at all1,No attention at all1,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,,,,,,,,,,,,,0,0,100.912,0,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,5,4,4,6,,,,,,,,,,,,,,,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,7 - The benefits strongly outweigh the risks,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,7 - A great deal of guidance,very liberal,very liberal,,,Qual81139-0421-GenPop-[MD],C0007,1,,,259,,49410151,37,5X7qwSELXnV2n8DoYZEPwk,1.988730713,1.369824734,35-54,Whites,DV2,https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=5X7qwSELXnV2n8DoYZEPwk&ps_hash=d95f06545bfc41ee366fcfa0af87fa3424aa47b3,d95f06545bfc41ee366fcfa0af87fa3424aa47b3
05-05-2026 13:38,05-05-2026 13:42,IP Address,100,243,TRUE,05-05-2026 13:42,R_6KVMyxiKeSaLo00,anonymous,EN,,Yes,Yes,1983,Male,"Advanced degree (e.g., graduate school, JD, MD, PhD)",West,No,,,,,White,,,"$100,000 to $149,999",5,Very Interested7,6,6,Very Interested7,6,A great deal of attention7,5,6,6,6,A great deal of attention7,6,5,5,6,5,A lot like me7,5,6,6,A lot like me7,6,5,6,6,A lot like me7,Definitely true,Definitely true,Likely true,Likely true,Definitely true,Likely true,Likely true,Definitely true,Likely true,Likely true,Likely false,Definitely true,,,,,,,,,1.148,15.727,26.57,5,,,,,6,Very much7,5,6,6,Very much7,5,6,Very much7,6,6,4,1,7,6,5,6,6,6,5,5,Very likely7,5,6,6,Very likely7,6,Very likely7,,,,,,,,,,,,,,7 - A great deal of guidance,very liberal,liberal,,,Qual81139-0421-GenPop-[MD],C0007,1,,,243,,49410151,3789,5QXkhG65Xl1Py0mf2kpe1v,1.988730713,1.369824734,35-54,Whites,DV1,https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=5QXkhG65Xl1Py0mf2kpe1v&ps_hash=70b67e71b2e51a6d4bc018b2f3dd9c3b1909070d,70b67e71b2e51a6d4bc018b2f3dd9c3b1909070d
05-05-2026 13:33,05-05-2026 13:44,IP Address,100,706,TRUE,05-05-2026 13:44,R_3JQ2LeKgL14cj5S,anonymous,EN,,Yes,Yes,1943,Male,"2 year degree (e.g., associate degree)",South,No,,,,,White,,,"$70,000 to $79,999",Not at all interested1,2,2,2,3,2,2,No attention at all1,2,2,3,2,Somewhat like me4,5,5,5,5,5,Somewhat like me4,3,5,3,Somewhat like me4,Somewhat like me4,2,5,Somewhat like me4,Definitely true,Definitely false,Likely true,Definitely false,Likely true,Likely true,Definitely true,Definitely true,Likely true,Definitely true,Definitely true,Likely false,0,0,23.242,0,,,,,,,,,,,,,Not at all1,Not at all1,Not at all1,Not at all1,Very much7,2,Not at all1,Not at all1,Not at all1,5,3,4,3,4,,,,,,,,,,,,,,,Neither agree nor disagree4,Neither agree nor disagree4,5,2,5,Strongly agree7,4 - The risks and benefits are about equal,Neither agree nor disagree4,Neither agree nor disagree4,Neither agree nor disagree4,2,2,6,7 - A great deal of guidance,somewhat conservative,somewhat conservative,,,Qual81139-0421-GenPop-[MD],C0007,1,,,706,,49410151,2904,1Z6N1jeUoH9eyHlk9U1DzO,1.988730713,1.369824734,55+,Whites,DV2,https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=1Z6N1jeUoH9eyHlk9U1DzO&ps_hash=c84c1d332e1ec4fbf3280db2bfdb9751f22ecfe5,c84c1d332e1ec4fbf3280db2bfdb9751f22ecfe5
05-05-2026 13:44,05-05-2026 13:47,IP Address,100,165,TRUE,05-05-2026 13:47,R_3eefNpNUb3bK9wd,anonymous,EN,,Yes,Yes,1989,Male,"Advanced degree (e.g., graduate school, JD, MD, PhD)",South,No,,,,,White,,,"$100,000 to $149,999",Very Interested7,Very Interested7,Very Interested7,Very Interested7,Very Interested7,Very Interested7,A great deal of attention7,A great deal of attention7,A great deal of attention7,6,6,A great deal of attention7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,Not at all like me1,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,Not at all like me1,Not at all like me1,6,6,Not at all like me1,Don't know,Definitely false,Don't know,Definitely false,Definitely true,Don't know,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,,,,,,18.596,18.596,26.485,1,,,,,,,,,6,6,6,Very much7,Very much7,6,6,Not at all1,Not at all1,Not at all1,7,7,7,7,6,6,6,Very likely7,6,6,6,6,6,Very likely7,6,Very likely7,Very likely7,Very likely7,,,,,,,,,,,,,,6,liberal,liberal,,,Qual81139-0421-GenPop-[MD],C0007,1,,,165,,49410151,3789,7k4ki5vxw5draC8euPB0yl,1.988730713,1.369824734,35-54,Whites,DV1,https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=7k4ki5vxw5draC8euPB0yl&ps_hash=20ba156bdff1ca0cfebfdf1074ecc6618ec28002,20ba156bdff1ca0cfebfdf1074ecc6618ec28002
05-05-2026 13:45,05-05-2026 13:48,IP Address,100,177,TRUE,05-05-2026 13:48,R_7jCWSyeeO9web7f,anonymous,EN,,Yes,Yes,1998,Female,"4 year college degree (e.g., bachelor's degree)",South,No,,,Black or African American,,,,,"$40,000 to $49,999",5,6,5,Moderately interested4,6,5,A moderate amount of attention4,5,A moderate amount of attention4,5,3,5,Somewhat like me4,Somewhat like me4,Not at all like me1,A lot like me7,Not at all like me1,Not at all like me1,5,Not at all like me1,6,2,A lot like me7,6,A lot like me7,3,5,Definitely true,Likely false,Don't know,Don't know,Definitely false,Likely true,Definitely false,,Likely true,Likely true,,Likely true,,,,,,,,,,,,,25.226,25.226,25.802,1,Very much7,6,6,Somewhat4,Somewhat4,Very much7,5,3,2,6,6,4,4,5,,,,,,,,,,,,,,,Strongly agree7,Neither agree nor disagree4,3,3,6,Strongly agree7,3,5,3,5,Neither agree nor disagree4,2,Neither agree nor disagree4,3,liberal,liberal,,,Qual81139-0421-GenPop-[MD],C0007,1,,,177,,49410151,3789,0xqhDvlTIebSFR2I2Ixan7,0.418141319,0.767360525,18-34,Blacks/AA,DV2,https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=0xqhDvlTIebSFR2I2Ixan7&ps_hash=9a2e875a11faf073bbc1a5923d91dafa1dda7dc2,9a2e875a11faf073bbc1a5923d91dafa1dda7dc2
05-05-2026 13:45,05-05-2026 13:48,IP Address,100,167,TRUE,05-05-2026 13:48,R_5c7GJW4qIUbhnW1,anonymous,EN,,Yes,Yes,1980,Male,"Advanced degree (e.g., graduate school, JD, MD, PhD)",West,No,,,,,White,,,"$100,000 to $149,999",Very Interested7,Very Interested7,6,6,Very Interested7,Very Interested7,6,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A lot like me7,A lot like me7,6,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,Not at all like me1,Not at all like me1,Not at all like me1,A lot like me7,Not at all like me1,Definitely true,Definitely true,Definitely true,Definitely true,Likely true,Definitely true,Definitely true,Definitely false,Definitely true,Likely true,Definitely true,Definitely true,0,0,21.238,0,,,,,,,,,,,,,Very much7,6,Very much7,6,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,7,7,7,7,,,,,,,,,,,,,,,Strongly agree7,6,Strongly agree7,6,Strongly agree7,Strongly agree7,7 - The benefits strongly outweigh the risks,Strongly agree7,Strongly agree7,Strongly agree7,6,Strongly agree7,6,7 - A great deal of guidance,very conservative,very conservative,,,Qual81139-0421-GenPop-[MD],C0007,1,,,167,,49410151,607,7HhYWVKaIASWznMt3y9qL8,1.988730713,1.369824734,35-54,Whites,DV2,https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=7HhYWVKaIASWznMt3y9qL8&ps_hash=034290f23bb030af6a46e53c1c0d93b6b5851401,034290f23bb030af6a46e53c1c0d93b6b5851401
05-05-2026 13:45,05-05-2026 13:49,IP Address,100,187,TRUE,05-05-2026 13:49,R_5q4mqNILAVhZXBD,anonymous,EN,,Yes,Yes,1980,Female,High school graduate,Northeast,Yes,American Indian or Alaska Native,,,,,,,"Less than $10,000",Very Interested7,Very Interested7,Very Interested7,Very Interested7,Very Interested7,Very Interested7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,Likely true,Likely true,Definitely false,Definitely true,Likely true,Likely true,Likely true,Likely true,Definitely true,Likely true,Definitely true,Likely true,,,,,,,,,10.196,20.242,21.744,11,,,,,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,7,7,7,7,Very likely7,Very likely7,Very likely7,Very likely7,Very likely7,Very likely7,Very likely7,Very likely7,Very likely7,Very likely7,Very likely7,Very likely7,Very likely7,Very likely7,,,,,,,,,,,,,,7 - A great deal of guidance,very conservative,very conservative,,,Qual81139-0421-GenPop-[MD],C0007,1,,,187,,49410151,2904,5WExvyx65udQR0BxHe1pfP,0.728081504,0.652239478,35-54,Other_Races,DV1,https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=5WExvyx65udQR0BxHe1pfP&ps_hash=255f6c24d5d9675a035e99b6c2633f88121fb9c3,255f6c24d5d9675a035e99b6c2633f88121fb9c3
05-05-2026 13:47,05-05-2026 13:49,IP Address,100,142,TRUE,05-05-2026 13:49,R_75TsSfrecMRLg1Q,anonymous,EN,,Yes,Yes,1980,Female,High school graduate,South,No,,,,,White,,,"$20,000 to $29,999",Very Interested7,Very Interested7,Very Interested7,Very Interested7,Very Interested7,Very Interested7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,6,6,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,Not at all like me1,6,6,A lot like me7,6,A lot like me7,Don't know,Don't know,Don't know,Don't know,Definitely false,Likely true,,,,,,,,,,,2.7,22.242,22.609,9,,,,,,,,,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,2,4,6,4,Very likely7,Very likely7,Very likely7,Very likely7,Very likely7,Very likely7,Very likely7,Somewhat likely4,Very likely7,Very likely7,5,Very likely7,Very likely7,Very likely7,,,,,,,,,,,,,,4 - A moderate amount of guidance,moderate,moderate,,,Qual81139-0421-GenPop-[MD],C0007,1,,,142,,49410151,3789,5hLmChPVkg8NyoN0atPNgX,1.988730713,1.369824734,35-54,Whites,DV1,https://api.spectrumsurveys.com/surveydone?st=21&transaction_id=5hLmChPVkg8NyoN0atPNgX&ps_hash=a95349fa23dad2b81da42627b83184b54d07b60a,a95349fa23dad2b81da42627b83184b54d07b60a
