StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q10_6_TEXT,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q20_First Click,Q20_Last Click,Q20_Page Submit,Q20_Click Count,Q22_First Click,Q22_Last Click,Q22_Page Submit,Q22_Click Count,Q24_First Click,Q24_Last Click,Q24_Page Submit,Q24_Click Count,Q26_First Click,Q26_Last Click,Q26_Page Submit,Q26_Click Count,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q28_1,Q28_2,Q28_3,Q28_4,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q29_11,Q29_12,Q29_13,Q29_14,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q31,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q33,Q34,Q35,Q_DuplicateRespondentStatus,Q_BallotBoxStuffing,opp,gc,term,tg,Q_TotalDuration,PS,SVID,supplier_id,_os_api_transaction_id,age_group,race,2nd_order
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_DuplicateRespondent,Consent,US resident,Year of birth,Gender,What is the highest level of education you have completed?,In what region of the United States do you live?,Hispanic,Race - Selected Choice,Race - Other - Text,HH income,Interest - Chemistry,Interest - Biology,Interest - Environmental or earth sciences,Interest - Psychology,Interest - Astronomy,Interest - Computer science,Media attention - Chemistry,Media attention - Biology,Media attention - Environmental or earth sciences,Media attention - Psychology,Media attention - Astronomy or space sciences,Media attention - Computer science,Dispositional curiosity and awe - I view challenging situations as an opportunity to grow and learn.,Dispositional curiosity and awe - I seek out situations where it is likely that I will have to think in depth about something.,Dispositional curiosity and awe - I enjoy learning about subjects that are unfamiliar to me.,Dispositional curiosity and awe - I find it fascinating to learn new information.,Dispositional curiosity and awe - I often feel awe.,Dispositional curiosity and awe - I see beauty all around me.,Dispositional curiosity and awe - I feel wonder almost every day.,Dispositional curiosity and awe - I often look for patterns in the objects around me.,Dispositional curiosity and awe - I have many opportunities to see the beauty of nature.,Dispositional curiosity and awe - I seek out experiences that challenge my understanding of the world.,Need for closure - I don't like situations that are uncertain.,Need for closure - I dislike questions that could be answered in many different ways.,Need for closure - I would quickly become impatient and irritated if I could not find a solution to a problem immediately.,Need for closure - I enjoy having a clear and structured mode of life.,Need for closure - I dislike unpredictable situations.,Factual science knowledge - The center of the earth is very hot.,Factual science knowledge - All radioactivity is man-made.,Factual science knowledge - Electrons are smaller than atoms.,Factual science knowledge - Lasers work by focusing sound waves.,Factual science knowledge - It is the father’s gene that decides whether the baby is a boy or a girl.,Factual science knowledge - Antibiotics kill viruses as well as bacteria.,Process scientific knowledge - The scientific method produces results that are meant to be continually tested.,Process scientific knowledge - Uncertainty is part of the scientific method.,Process scientific knowledge - We can identify facts that are unchanging through the scientific method.,Process scientific knowledge - The scientific method builds on previous knowledge.,Process scientific knowledge - Evidence based on data is a key part of the scientific method.,Process scientific knowledge - The scientific method can be used to produce any conclusion the researcher wants.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Situational curiosity/interest, awe, wonder, frustration - made you curious.","Situational curiosity/interest, awe, wonder, frustration - captured your interest.","Situational curiosity/interest, awe, wonder, frustration - captured your attention.","Situational curiosity/interest, awe, wonder, frustration - made you want to know more.","Situational curiosity/interest, awe, wonder, frustration - contained novel information.","Situational curiosity/interest, awe, wonder, frustration - surprised you.","Situational curiosity/interest, awe, wonder, frustration - filled you with a sense of wonder.","Situational curiosity/interest, awe, wonder, frustration - filled you with a sense of awe.","Situational curiosity/interest, awe, wonder, frustration - made you feel frustrated.","Situational curiosity/interest, awe, wonder, frustration - made you feel irritated.",Source credibility - not reliable:reliable,Source credibility - not authoritative:authoritative,Source credibility - not reputable:reputable,Source credibility - not trustworthy:trustworthy,Information seeking and sharing/WOM - seek more information about the search for life in the universe,Information seeking and sharing/WOM - watch a YouTube video on the search for life in the universe,Information seeking and sharing/WOM - read an article or a book about the search for life in the universe,Information seeking and sharing/WOM - listen to a podcast about the search for life in the universe,Information seeking and sharing/WOM - search for social media content from NASA,Information seeking and sharing/WOM - ask someone more knowledgeable than me about the search for life in the universe,Information seeking and sharing/WOM - share what you have learned about the search for life in the universe with others,Information seeking and sharing/WOM - share this source of information with others,Information seeking and sharing/WOM - share what you have learned about the search for life in the universe on social media,Information seeking and sharing/WOM - mention to others that you seek information about space science and astronomy from NASA,Information seeking and sharing/WOM - let others know that you rely on this source for information about space science and astronomy,Information seeking and sharing/WOM - speak positively about this source to others,Information seeking and sharing/WOM - recommend NASA as a source for information to close personal friends,"Information seeking and sharing/WOM - For quality control purposes, please select “Very likely” in this row.","Risks, benefits, acceptance - There are many likely benefits from space science and astronomy.","Risks, benefits, acceptance - There are many likely risks from space science and astronomy.","Risks, benefits, acceptance - People should accept public investment in space science and astronomy.","Risks, benefits, acceptance - Society can renounce space science and astronomy research without any major problems.","Risks, benefits, acceptance - We need space science and astronomy because other areas of science alone are not sufficient to advance our understanding of the universe.","Risks, benefits, acceptance - For quality control purposes, please select “Strongly agree” in this row.",Risks vs. benefits,Support for funding - Government investments in space science and astronomy are valuable investments.,Support for funding - It is important for the U.S. to invest in space science and astronomy research.,"Support for funding - Overall, I support research on space science and astronomy.","Support for funding - Overall, I support federal funding for space science and astronomy research.","Support for funding - Overall, I support state funding for space science and astronomy research.","Support for funding - Overall, I support private funding for space science and astronomy research.",Religiosity,Fiscal conservatism,Social conservatism,Q_DuplicateRespondentStatus,Q_BallotBoxStuffing,opp,gc,term,tg,Q_TotalDuration,PS,SVID,supplier_id,_os_api_transaction_id,age_group,race,2nd_order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""QID2""}","{""ImportId"":""QID31""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID100""}","{""ImportId"":""QID135""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_6_TEXT""}","{""ImportId"":""QID101""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID121_2""}","{""ImportId"":""QID121_3""}","{""ImportId"":""QID121_4""}","{""ImportId"":""QID121_5""}","{""ImportId"":""QID121_6""}","{""ImportId"":""QID121_7""}","{""ImportId"":""QID121_8""}","{""ImportId"":""QID121_9""}","{""ImportId"":""QID121_10""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID38_5""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID98_2""}","{""ImportId"":""QID98_3""}","{""ImportId"":""QID98_4""}","{""ImportId"":""QID98_5""}","{""ImportId"":""QID98_6""}","{""ImportId"":""QID99_1""}","{""ImportId"":""QID99_2""}","{""ImportId"":""QID99_3""}","{""ImportId"":""QID99_4""}","{""ImportId"":""QID99_5""}","{""ImportId"":""QID99_6""}","{""ImportId"":""QID128_FIRST_CLICK""}","{""ImportId"":""QID128_LAST_CLICK""}","{""ImportId"":""QID128_PAGE_SUBMIT""}","{""ImportId"":""QID128_CLICK_COUNT""}","{""ImportId"":""QID111_FIRST_CLICK""}","{""ImportId"":""QID111_LAST_CLICK""}","{""ImportId"":""QID111_PAGE_SUBMIT""}","{""ImportId"":""QID111_CLICK_COUNT""}","{""ImportId"":""QID115_FIRST_CLICK""}","{""ImportId"":""QID115_LAST_CLICK""}","{""ImportId"":""QID115_PAGE_SUBMIT""}","{""ImportId"":""QID115_CLICK_COUNT""}","{""ImportId"":""QID119_FIRST_CLICK""}","{""ImportId"":""QID119_LAST_CLICK""}","{""ImportId"":""QID119_PAGE_SUBMIT""}","{""ImportId"":""QID119_CLICK_COUNT""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID85_2""}","{""ImportId"":""QID85_3""}","{""ImportId"":""QID85_4""}","{""ImportId"":""QID85_5""}","{""ImportId"":""QID85_6""}","{""ImportId"":""QID85_7""}","{""ImportId"":""QID85_8""}","{""ImportId"":""QID85_9""}","{""ImportId"":""QID85_10""}","{""ImportId"":""QID133_1""}","{""ImportId"":""QID133_2""}","{""ImportId"":""QID133_3""}","{""ImportId"":""QID133_4""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID88_2""}","{""ImportId"":""QID88_3""}","{""ImportId"":""QID88_4""}","{""ImportId"":""QID88_5""}","{""ImportId"":""QID88_6""}","{""ImportId"":""QID88_7""}","{""ImportId"":""QID88_8""}","{""ImportId"":""QID88_9""}","{""ImportId"":""QID88_10""}","{""ImportId"":""QID88_11""}","{""ImportId"":""QID88_12""}","{""ImportId"":""QID88_13""}","{""ImportId"":""QID88_14""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID126_2""}","{""ImportId"":""QID126_3""}","{""ImportId"":""QID126_4""}","{""ImportId"":""QID126_5""}","{""ImportId"":""QID126_6""}","{""ImportId"":""QID134""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID124_2""}","{""ImportId"":""QID124_3""}","{""ImportId"":""QID124_4""}","{""ImportId"":""QID124_5""}","{""ImportId"":""QID124_6""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""Q_DuplicateRespondentStatus""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""opp""}","{""ImportId"":""gc""}","{""ImportId"":""term""}","{""ImportId"":""tg""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""PS""}","{""ImportId"":""SVID""}","{""ImportId"":""supplier_id""}","{""ImportId"":""_os_api_transaction_id""}","{""ImportId"":""age_group""}","{""ImportId"":""race""}","{""ImportId"":""2nd_order""}"
05/05/26 12:53,05/05/26 12:56,IP Address,100,216,TRUE,05/05/26 12:56,R_31YmVnmIenrLQ43,anonymous,EN,,Yes,Yes,1991,Male,"4 year college degree (e.g., bachelor's degree)",Northeast,No,Black or African American,,"$50,000 to $59,999",Very Interested7,Very Interested7,Very Interested7,6,5,6,6,A great deal of attention7,A great deal of attention7,6,A great deal of attention7,A great deal of attention7,6,6,5,6,A lot like me7,A lot like me7,A lot like me7,6,6,A lot like me7,A lot like me7,A lot like me7,5,6,Somewhat like me4,Definitely true,Likely true,Definitely true,Definitely true,Likely true,Likely true,Likely false,Likely true,Definitely true,Likely true,Definitely true,Likely true,,,,,,,,,,,,,7.348,30.597,31.37,7,Very much7,6,Very much7,6,Very much7,Somewhat4,Very much7,6,6,6,7,6,7,6,,,,,,,,,,,,,,,6,6,5,6,Neither agree nor disagree4,Strongly agree7,6,6,Strongly agree7,6,5,6,Strongly agree7,7 - A great deal of guidance,very liberal,very liberal,,,Qual81139-0421-GenPop-[MD],1,,,216,,49410151,4167,428fW4Kf9LuRYMUjl4vxo2,35-54,Blacks/AA,DV2
05/05/26 13:18,05/05/26 13:23,IP Address,100,280,TRUE,05/05/26 13:23,R_6zY2zEtKDbwv8Mg,anonymous,EN,,Yes,Yes,1994,Female,High school graduate,South,No,Black or African American,,"$150,000 or more",Very Interested7,Very Interested7,Very Interested7,Very Interested7,Very Interested7,Very Interested7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,,,,,1.179,38.032,38.607,12,,,,,,,,,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,7,7,7,7,,,,,,,,,,,,,,,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,7 - The benefits strongly outweigh the risks,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,7 - A great deal of guidance,moderate,moderate,,,Qual81139-0421-GenPop-[MD],1,,,280,,49410151,4167,5j3BfgVyO7vnUTz02RgXAV,18-34,Blacks/AA,DV2
05/05/26 13:25,05/05/26 13:30,IP Address,100,259,TRUE,05/05/26 13:30,R_3J34DZQBqCphMBg,anonymous,EN,,Yes,Yes,1974,Female,"2 year degree (e.g., associate degree)",West,No,White,,"Less than $10,000",Not at all interested1,Very Interested7,Very Interested7,Very Interested7,Very Interested7,Very Interested7,No attention at all1,No attention at all1,A moderate amount of attention4,No attention at all1,No attention at all1,No attention at all1,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,,,,,,,,,,,,,0,0,100.912,0,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,5,4,4,6,,,,,,,,,,,,,,,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,7 - The benefits strongly outweigh the risks,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,Strongly agree7,7 - A great deal of guidance,very liberal,very liberal,,,Qual81139-0421-GenPop-[MD],1,,,259,,49410151,37,5X7qwSELXnV2n8DoYZEPwk,35-54,Whites,DV2
05/05/26 13:38,05/05/26 13:42,IP Address,100,243,TRUE,05/05/26 13:42,R_6KVMyxiKeSaLo00,anonymous,EN,,Yes,Yes,1983,Male,"Advanced degree (e.g., graduate school, JD, MD, PhD)",West,No,White,,"$100,000 to $149,999",5,Very Interested7,6,6,Very Interested7,6,A great deal of attention7,5,6,6,6,A great deal of attention7,6,5,5,6,5,A lot like me7,5,6,6,A lot like me7,6,5,6,6,A lot like me7,Definitely true,Definitely true,Likely true,Likely true,Definitely true,Likely true,Likely true,Definitely true,Likely true,Likely true,Likely false,Definitely true,,,,,,,,,1.148,15.727,26.57,5,,,,,6,Very much7,5,6,6,Very much7,5,6,Very much7,6,6,4,1,7,6,5,6,6,6,5,5,Very likely7,5,6,6,Very likely7,6,Very likely7,,,,,,,,,,,,,,7 - A great deal of guidance,very liberal,liberal,,,Qual81139-0421-GenPop-[MD],1,,,243,,49410151,3789,5QXkhG65Xl1Py0mf2kpe1v,35-54,Whites,DV1
05/05/26 13:33,05/05/26 13:44,IP Address,100,706,TRUE,05/05/26 13:44,R_3JQ2LeKgL14cj5S,anonymous,EN,,Yes,Yes,1943,Male,"2 year degree (e.g., associate degree)",South,No,White,,"$70,000 to $79,999",Not at all interested1,2,2,2,3,2,2,No attention at all1,2,2,3,2,Somewhat like me4,5,5,5,5,5,Somewhat like me4,3,5,3,Somewhat like me4,Somewhat like me4,2,5,Somewhat like me4,Definitely true,Definitely false,Likely true,Definitely false,Likely true,Likely true,Definitely true,Definitely true,Likely true,Definitely true,Definitely true,Likely false,0,0,23.242,0,,,,,,,,,,,,,Not at all1,Not at all1,Not at all1,Not at all1,Very much7,2,Not at all1,Not at all1,Not at all1,5,3,4,3,4,,,,,,,,,,,,,,,Neither agree nor disagree4,Neither agree nor disagree4,5,2,5,Strongly agree7,4 - The risks and benefits are about equal,Neither agree nor disagree4,Neither agree nor disagree4,Neither agree nor disagree4,2,2,6,7 - A great deal of guidance,somewhat conservative,somewhat conservative,,,Qual81139-0421-GenPop-[MD],1,,,706,,49410151,2904,1Z6N1jeUoH9eyHlk9U1DzO,55+,Whites,DV2
05/05/26 13:44,05/05/26 13:47,IP Address,100,165,TRUE,05/05/26 13:47,R_3eefNpNUb3bK9wd,anonymous,EN,,Yes,Yes,1989,Male,"Advanced degree (e.g., graduate school, JD, MD, PhD)",South,No,White,,"$100,000 to $149,999",Very Interested7,Very Interested7,Very Interested7,Very Interested7,Very Interested7,Very Interested7,A great deal of attention7,A great deal of attention7,A great deal of attention7,6,6,A great deal of attention7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,Not at all like me1,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,Not at all like me1,Not at all like me1,6,6,Not at all like me1,Don't know,Definitely false,Don't know,Definitely false,Definitely true,Don't know,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,,,,,,18.596,18.596,26.485,1,,,,,,,,,6,6,6,Very much7,Very much7,6,6,Not at all1,Not at all1,Not at all1,7,7,7,7,6,6,6,Very likely7,6,6,6,6,6,Very likely7,6,Very likely7,Very likely7,Very likely7,,,,,,,,,,,,,,6,liberal,liberal,,,Qual81139-0421-GenPop-[MD],1,,,165,,49410151,3789,7k4ki5vxw5draC8euPB0yl,35-54,Whites,DV1
05/05/26 13:45,05/05/26 13:48,IP Address,100,177,TRUE,05/05/26 13:48,R_7jCWSyeeO9web7f,anonymous,EN,,Yes,Yes,1998,Female,"4 year college degree (e.g., bachelor's degree)",South,No,Black or African American,,"$40,000 to $49,999",5,6,5,Moderately interested4,6,5,A moderate amount of attention4,5,A moderate amount of attention4,5,3,5,Somewhat like me4,Somewhat like me4,Not at all like me1,A lot like me7,Not at all like me1,Not at all like me1,5,Not at all like me1,6,2,A lot like me7,6,A lot like me7,3,5,Definitely true,Likely false,Don't know,Don't know,Definitely false,Likely true,Definitely false,,Likely true,Likely true,,Likely true,,,,,,,,,,,,,25.226,25.226,25.802,1,Very much7,6,6,Somewhat4,Somewhat4,Very much7,5,3,2,6,6,4,4,5,,,,,,,,,,,,,,,Strongly agree7,Neither agree nor disagree4,3,3,6,Strongly agree7,3,5,3,5,Neither agree nor disagree4,2,Neither agree nor disagree4,3,liberal,liberal,,,Qual81139-0421-GenPop-[MD],1,,,177,,49410151,3789,0xqhDvlTIebSFR2I2Ixan7,18-34,Blacks/AA,DV2
05/05/26 13:45,05/05/26 13:48,IP Address,100,167,TRUE,05/05/26 13:48,R_5c7GJW4qIUbhnW1,anonymous,EN,,Yes,Yes,1980,Male,"Advanced degree (e.g., graduate school, JD, MD, PhD)",West,No,White,,"$100,000 to $149,999",Very Interested7,Very Interested7,6,6,Very Interested7,Very Interested7,6,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A great deal of attention7,A lot like me7,A lot like me7,6,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,A lot like me7,Not at all like me1,Not at all like me1,Not at all like me1,A lot like me7,Not at all like me1,Definitely true,Definitely true,Definitely true,Definitely true,Likely true,Definitely true,Definitely true,Definitely false,Definitely true,Likely true,Definitely true,Definitely true,0,0,21.238,0,,,,,,,,,,,,,Very much7,6,Very much7,6,Very much7,Very much7,Very much7,Very much7,Very much7,Very much7,7,7,7,7,,,,,,,,,,,,,,,Strongly agree7,6,Strongly agree7,6,Strongly agree7,Strongly agree7,7 - The benefits strongly outweigh the risks,Strongly agree7,Strongly agree7,Strongly agree7,6,Strongly agree7,6,7 - A great deal of guidance,very conservative,very conservative,,,Qual81139-0421-GenPop-[MD],1,,,167,,49410151,607,7HhYWVKaIASWznMt3y9qL8,35-54,Whites,DV2
